init_mode,train_fraction,seed,best_epoch,best_val_auc,test_accuracy,test_macro_f1,test_auc,elapsed_seconds,total_params,model_size_mb,checkpoint_path
pretrained,1.00,42,7,0.999020,0.964046,0.959357,0.998667,1351.96,27525506,106.06,checkpoints\bloodmnist_swin_tiny_pretrained_100pct_seed42_best.pth
pretrained,1.00,123,3,0.998927,0.969892,0.967503,0.998759,856.04,27525506,106.06,checkpoints\bloodmnist_swin_tiny_pretrained_100pct_seed123_best.pth
pretrained,1.00,3185,3,0.999042,0.970476,0.966710,0.998654,870.76,27525506,106.06,checkpoints\bloodmnist_swin_tiny_pretrained_100pct_seed3185_best.pth
pretrained,0.50,42,4,0.998465,0.960246,0.955544,0.998215,539.90,27525506,106.06,checkpoints\bloodmnist_swin_tiny_pretrained_50pct_seed42_best.pth
pretrained,0.50,123,4,0.998751,0.960246,0.953625,0.998108,531.82,27525506,106.06,checkpoints\bloodmnist_swin_tiny_pretrained_50pct_seed123_best.pth
pretrained,0.50,3185,6,0.998240,0.958784,0.952558,0.997838,670.38,27525506,106.06,checkpoints\bloodmnist_swin_tiny_pretrained_50pct_seed3185_best.pth
pretrained,0.25,42,2,0.995687,0.926630,0.918048,0.994741,214.56,27525506,106.06,checkpoints\bloodmnist_swin_tiny_pretrained_25pct_seed42_best.pth
pretrained,0.25,123,12,0.997945,0.946799,0.941142,0.997008,489.23,27525506,106.06,checkpoints\bloodmnist_swin_tiny_pretrained_25pct_seed123_best.pth
pretrained,0.25,3185,5,0.997601,0.951184,0.945641,0.997410,332.83,27525506,106.06,checkpoints\bloodmnist_swin_tiny_pretrained_25pct_seed3185_best.pth
pretrained,0.10,42,9,0.995254,0.928676,0.920923,0.994834,263.11,27525506,106.06,checkpoints\bloodmnist_swin_tiny_pretrained_10pct_seed42_best.pth
pretrained,0.10,123,10,0.996917,0.938907,0.929282,0.996661,263.70,27525506,106.06,checkpoints\bloodmnist_swin_tiny_pretrained_10pct_seed123_best.pth
pretrained,0.10,3185,12,0.995519,0.912599,0.900796,0.992874,263.71,27525506,106.06,checkpoints\bloodmnist_swin_tiny_pretrained_10pct_seed3185_best.pth
pretrained,0.05,42,10,0.991595,0.901198,0.884685,0.991541,183.15,27525506,106.06,checkpoints\bloodmnist_swin_tiny_pretrained_5pct_seed42_best.pth
pretrained,0.05,123,7,0.991417,0.889506,0.874815,0.991179,156.26,27525506,106.06,checkpoints\bloodmnist_swin_tiny_pretrained_5pct_seed123_best.pth
pretrained,0.05,3185,4,0.989457,0.884829,0.863726,0.986185,113.70,27525506,106.06,checkpoints\bloodmnist_swin_tiny_pretrained_5pct_seed3185_best.pth
scratch,1.00,42,3,0.966310,0.769658,0.683010,0.961348,1119.16,27525506,106.06,checkpoints\bloodmnist_swin_tiny_scratch_100pct_seed42_best.pth
scratch,1.00,123,10,0.890006,0.539316,0.406503,0.884246,2116.33,27525506,106.06,checkpoints\bloodmnist_swin_tiny_scratch_100pct_seed123_best.pth
scratch,1.00,3185,4,0.862709,0.503946,0.347485,0.863422,1260.35,27525506,106.06,checkpoints\bloodmnist_swin_tiny_scratch_100pct_seed3185_best.pth
scratch,0.50,42,14,0.855212,0.480854,0.411273,0.853291,1407.92,27525506,106.06,checkpoints\bloodmnist_swin_tiny_scratch_50pct_seed42_best.pth
scratch,0.50,123,2,0.831608,0.362175,0.193071,0.835024,521.87,27525506,106.06,checkpoints\bloodmnist_swin_tiny_scratch_50pct_seed123_best.pth
scratch,0.50,3185,9,0.855993,0.472961,0.324335,0.854858,1033.61,27525506,106.06,checkpoints\bloodmnist_swin_tiny_scratch_50pct_seed3185_best.pth
scratch,0.25,42,6,0.849581,0.456299,0.335614,0.846676,458.63,27525506,106.06,checkpoints\bloodmnist_swin_tiny_scratch_25pct_seed42_best.pth
scratch,0.25,123,12,0.924135,0.620871,0.515214,0.922711,703.23,27525506,106.06,checkpoints\bloodmnist_swin_tiny_scratch_25pct_seed123_best.pth
scratch,0.25,3185,15,0.904273,0.567086,0.460729,0.902023,810.09,27525506,106.06,checkpoints\bloodmnist_swin_tiny_scratch_25pct_seed3185_best.pth
scratch,0.10,42,8,0.848926,0.465361,0.300521,0.848382,278.96,27525506,106.06,checkpoints\bloodmnist_swin_tiny_scratch_10pct_seed42_best.pth
scratch,0.10,123,11,0.862342,0.429991,0.268064,0.860817,342.31,27525506,106.06,checkpoints\bloodmnist_swin_tiny_scratch_10pct_seed123_best.pth
scratch,0.10,3185,4,0.838994,0.448992,0.271799,0.846295,197.11,27525506,106.06,checkpoints\bloodmnist_swin_tiny_scratch_10pct_seed3185_best.pth
scratch,0.05,42,14,0.915142,0.598071,0.481910,0.913075,284.48,27525506,106.06,checkpoints\bloodmnist_swin_tiny_scratch_5pct_seed42_best.pth
scratch,0.05,123,10,0.930751,0.638994,0.494685,0.931583,228.07,27525506,106.06,checkpoints\bloodmnist_swin_tiny_scratch_5pct_seed123_best.pth
scratch,0.05,3185,19,0.951158,0.710026,0.604803,0.949759,354.32,27525506,106.06,checkpoints\bloodmnist_swin_tiny_scratch_5pct_seed3185_best.pth
